arm,repeat,seed,config,run_id,checkpoint,study,status,started,finished,minutes
abl_rot_global_all,0,0,abl_rot_global_all.json,20260802-182625,./checkpoints/model_20260802-182625-best.pth,"1-rotations(all), 2-fk(baseline), 3-skeletons(multi), 4-mdc(baseline)",ok,2026-08-02 18:26:21,2026-08-02 20:28:45,122.4
abl_rot_local_all,0,0,abl_rot_local_all.json,20260802-202849,./checkpoints/model_20260802-202849-best.pth,1-rotations(all),ok,2026-08-02 20:28:45,2026-08-02 23:13:36,164.8
abl_fk_off,0,0,abl_fk_off.json,20260803-001648,./checkpoints/model_20260803-001648-best.pth,2-fk(ablated),ok,2026-08-03 00:16:45,2026-08-03 01:29:49,73.1
abl_mdc_on,0,0,abl_mdc_on.json,20260803-012952,./checkpoints/model_20260803-012952-best.pth,4-mdc(ablated),ok,2026-08-03 01:29:49,2026-08-03 03:48:27,138.6
abl_rot_global_lafan,0,0,abl_rot_global_lafan.json,20260803-201446,./checkpoints/model_20260803-201446-best.pth,"1-rotations(lafan), 3-skeletons(single)",ok,2026-08-03 20:14:32,2026-08-03 21:46:51,92.3
abl_rot_local_lafan,0,0,abl_rot_local_lafan.json,20260804-074133,./checkpoints/model_20260804-074133-best.pth,1-rotations(lafan),ok,2026-08-04 07:41:20,2026-08-04 11:17:29,216.1
abl_rot_global_all,1,1,abl_rot_global_all.json,20260804-111732,./checkpoints/model_20260804-111732-best.pth,"1-rotations(all), 2-fk(baseline), 3-skeletons(multi), 4-mdc(baseline)",ok,2026-08-04 11:17:29,2026-08-04 13:01:05,103.6
abl_rot_local_all,1,1,abl_rot_local_all.json,20260804-130109,./checkpoints/model_20260804-130109-best.pth,1-rotations(all),ok,2026-08-04 13:01:05,2026-08-04 15:55:00,173.9
abl_rot_global_lafan,1,1,abl_rot_global_lafan.json,20260804-155503,./checkpoints/model_20260804-155503-best.pth,"1-rotations(lafan), 3-skeletons(single)",ok,2026-08-04 15:55:00,2026-08-04 17:52:06,117.1
abl_rot_local_lafan,1,1,abl_rot_local_lafan.json,20260804-175213,./checkpoints/model_20260804-175213-best.pth,1-rotations(lafan),ok,2026-08-04 17:52:06,2026-08-04 21:04:12,192.1
abl_fk_off,1,1,abl_fk_off.json,20260804-210415,./checkpoints/model_20260804-210415-best.pth,2-fk(ablated),ok,2026-08-04 21:04:12,2026-08-04 22:07:58,63.8
abl_mdc_on,1,1,abl_mdc_on.json,20260805-074440,./checkpoints/model_20260805-074440-best.pth,4-mdc(ablated),ok,2026-08-05 07:44:30,2026-08-05 10:04:19,139.8
abl_rot_global_all,2,2,abl_rot_global_all.json,20260805-100422,./checkpoints/model_20260805-100422-best.pth,"1-rotations(all), 2-fk(baseline), 3-skeletons(multi), 4-mdc(baseline)",ok,2026-08-05 10:04:19,2026-08-05 11:57:04,112.8
abl_rot_local_all,2,2,abl_rot_local_all.json,20260805-115707,./checkpoints/model_20260805-115707-best.pth,1-rotations(all),ok,2026-08-05 11:57:04,2026-08-05 14:58:51,181.8
abl_rot_global_lafan,2,2,abl_rot_global_lafan.json,20260805-145854,./checkpoints/model_20260805-145854-best.pth,"1-rotations(lafan), 3-skeletons(single)",ok,2026-08-05 14:58:51,2026-08-05 17:04:17,125.4
abl_rot_local_lafan,2,2,abl_rot_local_lafan.json,20260805-170420,./checkpoints/model_20260805-170420-best.pth,1-rotations(lafan),ok,2026-08-05 17:04:17,2026-08-05 19:54:29,170.2
abl_fk_off,2,2,abl_fk_off.json,20260805-195433,./checkpoints/model_20260805-195433-best.pth,2-fk(ablated),ok,2026-08-05 19:54:29,2026-08-05 21:17:03,82.6
abl_mdc_on,2,2,abl_mdc_on.json,20260805-211708,./checkpoints/model_20260805-211708-best.pth,4-mdc(ablated),ok,2026-08-05 21:17:03,2026-08-05 23:33:21,136.3
abl_rot_global_all,3,3,abl_rot_global_all.json,20260806-075008,./checkpoints/model_20260806-075008-best.pth,"1-rotations(all), 2-fk(baseline), 3-skeletons(multi), 4-mdc(baseline)",ok,2026-08-06 07:50:00,2026-08-06 10:09:15,139.3
abl_rot_local_all,3,3,abl_rot_local_all.json,20260806-100918,./checkpoints/model_20260806-100918-best.pth,1-rotations(all),ok,2026-08-06 10:09:15,2026-08-06 12:59:42,170.4
abl_rot_global_lafan,3,3,abl_rot_global_lafan.json,20260806-125945,./checkpoints/model_20260806-125945-best.pth,"1-rotations(lafan), 3-skeletons(single)",ok,2026-08-06 12:59:42,2026-08-06 15:03:47,124.1
abl_rot_local_lafan,3,3,abl_rot_local_lafan.json,20260806-150350,./checkpoints/model_20260806-150350-best.pth,1-rotations(lafan),ok,2026-08-06 15:03:47,2026-08-06 17:45:07,161.3
abl_fk_off,3,3,abl_fk_off.json,20260806-174510,./checkpoints/model_20260806-174510-best.pth,2-fk(ablated),ok,2026-08-06 17:45:07,2026-08-06 18:45:25,60.3
abl_mdc_on,3,3,abl_mdc_on.json,20260806-184529,./checkpoints/model_20260806-184529-best.pth,4-mdc(ablated),ok,2026-08-06 18:45:25,2026-08-06 21:11:54,146.5
