Epoch 001 | Train Loss: 0.990453 | Val Loss: 0.747500
Epoch 002 | Train Loss: 0.699871 | Val Loss: 0.644810
Epoch 003 | Train Loss: 0.615062 | Val Loss: 0.577338
Epoch 004 | Train Loss: 0.564636 | Val Loss: 0.553568
Epoch 005 | Train Loss: 0.538180 | Val Loss: 0.533318
Epoch 006 | Train Loss: 0.517824 | Val Loss: 0.860450
Epoch 007 | Train Loss: 0.581230 | Val Loss: 0.505620
Epoch 008 | Train Loss: 0.499727 | Val Loss: 0.486698
Epoch 009 | Train Loss: 0.481309 | Val Loss: 0.476446
Epoch 010 | Train Loss: 0.470812 | Val Loss: 0.493732
Epoch 011 | Train Loss: 0.451942 | Val Loss: 0.443486
Epoch 012 | Train Loss: 0.434412 | Val Loss: 0.413606
Epoch 013 | Train Loss: 0.411333 | Val Loss: 0.395494
Epoch 014 | Train Loss: 0.398248 | Val Loss: 0.390523
Epoch 015 | Train Loss: 0.387487 | Val Loss: 0.398179
Epoch 016 | Train Loss: 0.375609 | Val Loss: 0.376801
Epoch 017 | Train Loss: 0.372895 | Val Loss: 0.369891
Epoch 018 | Train Loss: 0.362408 | Val Loss: 0.354972
Epoch 019 | Train Loss: 0.359434 | Val Loss: 0.351452
Epoch 020 | Train Loss: 0.355517 | Val Loss: 0.352097
Epoch 021 | Train Loss: 0.349864 | Val Loss: 0.350857
Epoch 022 | Train Loss: 0.345158 | Val Loss: 0.343263
Epoch 023 | Train Loss: 0.342096 | Val Loss: 0.345976
Epoch 024 | Train Loss: 0.339542 | Val Loss: 0.333974
Epoch 025 | Train Loss: 0.336666 | Val Loss: 0.334045
Epoch 026 | Train Loss: 0.332625 | Val Loss: 0.331178
Epoch 027 | Train Loss: 0.330469 | Val Loss: 0.331730
Epoch 028 | Train Loss: 0.330906 | Val Loss: 0.322792
Epoch 029 | Train Loss: 0.324970 | Val Loss: 0.321629
Epoch 030 | Train Loss: 0.324318 | Val Loss: 0.325758
Epoch 031 | Train Loss: 0.320069 | Val Loss: 0.317242
Epoch 032 | Train Loss: 0.319851 | Val Loss: 0.318773
Epoch 033 | Train Loss: 0.318536 | Val Loss: 0.316613
Epoch 034 | Train Loss: 0.315550 | Val Loss: 0.322096
Epoch 035 | Train Loss: 0.313785 | Val Loss: 0.338930
Epoch 036 | Train Loss: 0.311972 | Val Loss: 0.312298
Epoch 037 | Train Loss: 0.310432 | Val Loss: 0.304815
Epoch 038 | Train Loss: 0.309175 | Val Loss: 0.305888
